# name:     iron                                                 Feff 8.20   
# formula:  Fe
# sites:    Fe1
# refer1:   Kittel, ISSP
# refer2:
# schoen:
# notes1:   metal, bcc
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=26 Rmt= 1.347 Rnm= 1.395 K  shell
# Pot 1 Z=26 Rmt= 1.358 Rnm= 1.408
# Gam_ch=1.309E+00 H-L exch Vi= 2.000E+00 Vr= 0.000E+00
# Mu=-5.451E+00 kf=2.045E+00 Vint=-2.138E+01 Rs_int= 1.773
# PATH  Rmax= 5.468,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.944                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      8.00     2   2.4855
#           2       0.00000     51.86      6.00     2   2.8700
#           3       0.00000     13.22     48.00     3   3.9205
#           4       0.00000     39.56     12.00     2   4.0588
#           5       0.00000      4.94     24.00     3   4.5149
#           6       0.00000     12.37     48.00     3   4.5149
#           7       0.00000     48.97     24.00     2   4.7594
#           8       0.00000      6.29     48.00     3   4.8994
#           9       0.00000     14.25      8.00     2   4.9710
#          10       0.00000      6.67      8.00     3   4.9710
#          11       0.00000     45.94     16.00     3   4.9710
#          12       0.00000      9.75      8.00     4   4.9710
#          14       0.00000     41.22      8.00     4   4.9710
#          15       0.00000     11.17     48.00     3   5.0574
#          16       0.00000     12.24     48.00     3   5.0574
#          17       0.00000     12.37     48.00     3   5.0574
#    16/  18 paths used
#  xsedge+50, used to normalize mu           3.2002E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7533.396    410.609  10.450  8.85876E-01  8.91345E-01 -6.12326E-03
    7537.387    414.600  10.500  8.88756E-01  8.90349E-01 -1.78514E-03
    7541.397    418.610  10.550  8.94592E-01  8.89352E-01  5.88082E-03
    7545.426    422.639  10.600  9.02434E-01  8.88355E-01  1.58200E-02
    7549.474    426.687  10.650  9.10725E-01  8.87359E-01  2.62890E-02
    7553.542    430.754  10.700  9.17642E-01  8.86362E-01  3.52365E-02
    7557.628    434.840  10.750  9.21497E-01  8.85366E-01  4.07525E-02
    7561.733    438.946  10.800  9.21109E-01  8.84369E-01  4.14910E-02
    7565.857    443.070  10.850  9.16072E-01  8.83373E-01  3.69740E-02
    7570.001    447.213  10.900  9.06856E-01  8.82376E-01  2.77146E-02
    7574.163    451.376  10.950  8.94729E-01  8.81380E-01  1.51322E-02
    7578.345    455.557  11.000  8.81510E-01  8.80383E-01  1.27925E-03
    7582.545    459.758  11.050  8.68951E-01  8.79162E-01 -1.16065E-02
    7586.765    463.977  11.100  8.59052E-01  8.77941E-01 -2.15017E-02
    7591.003    468.216  11.150  8.53082E-01  8.76720E-01 -2.69464E-02
    7595.261    472.474  11.200  8.51532E-01  8.75499E-01 -2.73608E-02
    7599.538    476.750  11.250  8.54033E-01  8.74278E-01 -2.31459E-02
    7603.833    481.046  11.300  8.59445E-01  8.73057E-01 -1.55847E-02
    7608.148    485.361  11.350  8.66108E-01  8.71836E-01 -6.56790E-03
    7612.482    489.695  11.400  8.72183E-01  8.70614E-01  1.80180E-03
    7616.835    494.048  11.450  8.76039E-01  8.69393E-01  7.64300E-03
    7621.207    498.420  11.500  8.76576E-01  8.68172E-01  9.67961E-03
    7625.598    502.811  11.550  8.73451E-01  8.66951E-01  7.49713E-03
    7630.008    507.221  11.600  8.67133E-01  8.65730E-01  1.62000E-03
    7634.437    511.650  11.650  8.58800E-01  8.64509E-01 -6.60436E-03
    7638.885    516.098  11.700  8.50092E-01  8.63288E-01 -1.52898E-02
    7643.352    520.565  11.750  8.42758E-01  8.62067E-01 -2.24050E-02
    7647.839    525.051  11.800  8.38305E-01  8.60846E-01 -2.61948E-02
    7652.344    529.557  11.850  8.37676E-01  8.59625E-01 -2.55449E-02
    7656.868    534.081  11.900  8.41061E-01  8.58404E-01 -2.02141E-02
    7661.412    538.624  11.950  8.47853E-01  8.57183E-01 -1.08906E-02
