    15.9000   -1.652402E-02  1.956674E-02  8.067579E+01
    15.9500   -1.240643E-02  1.897048E-02  8.096857E+01
    16.0000   -7.484594E-03  1.821034E-02  8.125785E+01
    16.0500   -2.412195E-03  1.736463E-02  8.154204E+01
    16.1000    2.263597E-03  1.640153E-02  8.181986E+01
    16.1500    6.087552E-03  1.534935E-02  8.208922E+01
    16.2000    8.801610E-03  1.424259E-02  8.234758E+01
    16.2500    1.036463E-02  1.312275E-02  8.259193E+01
    16.3000    1.092671E-02  1.203915E-02  8.281894E+01
    16.3500    1.076626E-02  1.104901E-02  8.302549E+01
    16.4000    1.020599E-02  1.021514E-02  8.320988E+01
    16.4500    9.528007E-03  9.598758E-03  8.337370E+01
    16.5000    8.907543E-03  9.245778E-03  8.352353E+01
    16.5500    8.379965E-03  9.170611E-03  8.367050E+01
    16.6000    7.847211E-03  9.347950E-03  8.382672E+01
    16.6500    7.120425E-03  9.720184E-03  8.400096E+01
    16.7000    5.986928E-03  1.021509E-02  8.419678E+01
    16.7500    4.284103E-03  1.076203E-02  8.441358E+01
    16.8000    1.961362E-03  1.130067E-02  8.464856E+01
    16.8500   -8.854716E-04  1.178335E-02  8.489822E+01
    16.9000   -4.016243E-03  1.217438E-02  8.515919E+01
    16.9500   -7.085003E-03  1.244838E-02  8.542847E+01
    17.0000   -9.706167E-03  1.258863E-02  8.570345E+01
    17.0500   -1.153917E-02  1.258830E-02  8.598264E+01
    17.1000   -1.233595E-02  1.244281E-02  8.626265E+01
    17.1500   -1.202446E-02  1.215654E-02  8.654135E+01
    17.2000   -1.070670E-02  1.173993E-02  8.681648E+01
    17.2500   -8.633006E-03  1.120959E-02  8.708553E+01
    17.3000   -6.144602E-03  1.058893E-02  8.734551E+01
    17.3500   -3.598408E-03  9.909047E-03  8.759295E+01
    17.4000   -1.291971E-03  9.210011E-03  8.782385E+01
    17.4500    5.935241E-04  8.541994E-03  8.803413E+01
    17.5000    2.018847E-03  7.964947E-03  8.822086E+01
    17.5500    3.075253E-03  7.543949E-03  8.838447E+01
    17.6000    3.939435E-03  7.337012E-03  8.853138E+01
    17.6500    4.806706E-03  7.376802E-03  8.867428E+01
    17.7000    5.819727E-03  7.657077E-03  8.882798E+01
    17.7500    7.011474E-03  8.135598E-03  8.900345E+01
    17.8000    8.277896E-03  8.750796E-03  8.920513E+01
    17.8500    9.388683E-03  9.438855E-03  8.943224E+01
    17.9000    1.003524E-02  1.014327E-02  8.968146E+01
    17.9500    9.905712E-03  1.081764E-02  8.994894E+01
    18.0000    8.769656E-03  1.142520E-02  9.023114E+01
    18.0500    6.559908E-03  1.196695E-02  9.052601E+01
    18.1000    3.370472E-03  1.239215E-02  9.083073E+01
    18.1500   -4.736537E-04  1.268346E-02  9.114354E+01
    18.2000   -4.482387E-03  1.282853E-02  9.146313E+01
    18.2500   -8.084155E-03  1.281939E-02  9.178854E+01
    18.3000   -1.073387E-02  1.265213E-02  9.211911E+01
    18.3500   -1.202255E-02  1.232653E-02  9.245444E+01
    18.4000   -1.176431E-02  1.184581E-02  9.279435E+01
    18.4500   -1.004083E-02  1.121646E-02  9.313893E+01
    18.5000   -7.191926E-03  1.044800E-02  9.348856E+01
    18.5500   -3.752494E-03  9.552886E-03  9.384409E+01
    18.6000   -3.479860E-04  8.546401E-03  9.420705E+01
    18.6500    2.430186E-03  7.446891E-03  9.458020E+01
    18.7000    4.142991E-03  6.276497E-03  9.496870E+01
    18.7500    4.590501E-03  5.063491E-03  9.538291E+01
    18.8000    3.848156E-03  3.849602E-03  9.584599E+01
    18.8500    2.244456E-03  2.716031E-03  9.641674E+01
    18.9000    2.846959E-04  1.881684E-03  9.723749E+01
    18.9500   -1.462939E-03  1.822294E-03  9.832135E+01
    19.0000   -2.494248E-03  2.551805E-03  9.917296E+01
    19.0500   -2.491108E-03  3.582457E-03  9.976204E+01
    19.1000   -1.350857E-03  4.657044E-03  1.002367E+02
    19.1500    7.399547E-04  5.690741E-03  1.006614E+02
    19.2000    3.360239E-03  6.644136E-03  1.010612E+02
    19.2500    5.945257E-03  7.493361E-03  1.014473E+02
    19.3000    7.909725E-03  8.221790E-03  1.018254E+02
    19.3500    8.776194E-03  8.817313E-03  1.021984E+02
    19.4000    8.280630E-03  9.271329E-03  1.025683E+02
    19.4500    6.432122E-03  9.578318E-03  1.029363E+02
    19.5000    3.513777E-03  9.735651E-03  1.033033E+02
    19.5500    2.478991E-05  9.743465E-03  1.036700E+02
    19.6000   -3.423436E-03  9.604569E-03  1.040370E+02
    19.6500   -6.234258E-03  9.324338E-03  1.044049E+02
    19.7000   -7.948125E-03  8.910595E-03  1.047743E+02
    19.7500   -8.333826E-03  8.373488E-03  1.051460E+02
    19.8000   -7.429339E-03  7.725362E-03  1.055211E+02
    19.8500   -5.524259E-03  6.980680E-03  1.059011E+02
    19.9000   -3.088795E-03  6.156042E-03  1.062885E+02
    19.9500   -6.659656E-04  5.270490E-03  1.066875E+02
    20.0000    1.248462E-03  4.346538E-03  1.071055E+02
